Inflows:
Date,Height,TokenQty,TXID,Vout
2021-11-27T16:47:14.000Z,715940,96.15,6555ce0cd2d7f4c9e3f6c654cc83e70a7e769bb1a5e914cd2fe1d7b70ed4497d,1
2021-11-10T04:31:55.000Z,713409,29950,72c4599f6c610e091a862d1fbbfa5af449a9f89d183474421bd19c3fb526376b,1
2021-11-10T03:37:44.000Z,713404,50,d64576f3a93feeb0b20fa988233c38f16c5aca6a6c69f1c3a2a6dd86517dc3cc,1
2021-11-05T18:33:30.000Z,712748,313,eb9364382df870075286ef48f0716ccf3b86304e70bd81b074df844937359a8e,1
